#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    92    0.23812E+04   -0.18610E+02    0.40412E-05   -0.18610E+02    0.64590E+00   -0.71696E-08    0.40412E-05   -0.71696E-08    0.10008E-10
    93    0.24117E+04   -0.19244E+02    0.39492E-05   -0.19244E+02    0.66032E+00   -0.69687E-08    0.39492E-05   -0.69687E-08    0.97155E-11
    94    0.24422E+04   -0.19879E+02    0.38599E-05   -0.19879E+02    0.67463E+00   -0.68158E-08    0.38599E-05   -0.68158E-08    0.94332E-11
    95    0.24731E+04   -0.20517E+02    0.37732E-05   -0.20517E+02    0.68883E+00   -0.67068E-08    0.37732E-05   -0.67068E-08    0.91610E-11
    96    0.25041E+04   -0.21156E+02    0.36892E-05   -0.21156E+02    0.70290E+00   -0.66377E-08    0.36892E-05   -0.66377E-08    0.88987E-11
    97    0.25354E+04   -0.21796E+02    0.36076E-05   -0.21796E+02    0.71683E+00   -0.66046E-08    0.36076E-05   -0.66046E-08    0.86460E-11
    98    0.25670E+04   -0.22435E+02    0.35285E-05   -0.22435E+02    0.73061E+00   -0.66034E-08    0.35285E-05   -0.66034E-08    0.84025E-11
    99    0.25987E+04   -0.23075E+02    0.34518E-05   -0.23075E+02    0.74420E+00   -0.66302E-08    0.34518E-05   -0.66302E-08    0.81678E-11
   100    0.26307E+04   -0.23712E+02    0.33773E-05   -0.23712E+02    0.75761E+00   -0.66808E-08    0.33773E-05   -0.66808E-08    0.79416E-11
   101    0.26629E+04   -0.24349E+02    0.33051E-05   -0.24349E+02    0.77088E+00   -0.67514E-08    0.33051E-05   -0.67514E-08    0.77236E-11
   102    0.26956E+04   -0.24984E+02    0.32350E-05   -0.24984E+02    0.78388E+00   -0.68379E-08    0.32350E-05   -0.68379E-08    0.75134E-11
   103    0.27282E+04   -0.25618E+02    0.31671E-05   -0.25618E+02    0.79667E+00   -0.69363E-08    0.31671E-05   -0.69363E-08    0.73108E-11
   104    0.27611E+04   -0.26247E+02    0.31011E-05   -0.26247E+02    0.80925E+00   -0.70426E-08    0.31011E-05   -0.70426E-08    0.71153E-11
   105    0.27941E+04   -0.26873E+02    0.30372E-05   -0.26873E+02    0.82156E+00   -0.71528E-08    0.30372E-05   -0.71528E-08    0.69266E-11
   106    0.28273E+04   -0.27496E+02    0.29750E-05   -0.27496E+02    0.83365E+00   -0.72629E-08    0.29750E-05   -0.72629E-08    0.67443E-11
   107    0.28605E+04   -0.28113E+02    0.29147E-05   -0.28113E+02    0.84539E+00   -0.73689E-08    0.29147E-05   -0.73689E-08    0.65683E-11
   108    0.28940E+04   -0.28726E+02    0.28562E-05   -0.28726E+02    0.85685E+00   -0.74667E-08    0.28562E-05   -0.74667E-08    0.63980E-11
   109    0.29277E+04   -0.29333E+02    0.27993E-05   -0.29333E+02    0.86795E+00   -0.75525E-08    0.27993E-05   -0.75525E-08    0.62332E-11
   110    0.29615E+04   -0.29933E+02    0.27440E-05   -0.29933E+02    0.87869E+00   -0.76222E-08    0.27440E-05   -0.76222E-08    0.60735E-11
   111    0.29954E+04   -0.30527E+02    0.26903E-05   -0.30527E+02    0.88914E+00   -0.76725E-08    0.26903E-05   -0.76725E-08    0.59186E-11
   112    0.30294E+04   -0.31114E+02    0.26380E-05   -0.31114E+02    0.89924E+00   -0.77038E-08    0.26380E-05   -0.77038E-08    0.57684E-11
   113    0.30637E+04   -0.31693E+02    0.25872E-05   -0.31693E+02    0.90898E+00   -0.77171E-08    0.25872E-05   -0.77171E-08    0.56227E-11
   114    0.30980E+04   -0.32263E+02    0.25378E-05   -0.32263E+02    0.91830E+00   -0.77135E-08    0.25378E-05   -0.77135E-08    0.54815E-11
   115    0.31326E+04   -0.32824E+02    0.24898E-05   -0.32824E+02    0.92733E+00   -0.76939E-08    0.24898E-05   -0.76939E-08    0.53446E-11
   116    0.31672E+04   -0.33374E+02    0.24431E-05   -0.33374E+02    0.93587E+00   -0.76595E-08    0.24431E-05   -0.76595E-08    0.52118E-11
   117    0.32020E+04   -0.33915E+02    0.23977E-05   -0.33915E+02    0.94398E+00   -0.76112E-08    0.23977E-05   -0.76112E-08    0.50831E-11
   118    0.32370E+04   -0.34445E+02    0.23535E-05   -0.34445E+02    0.95182E+00   -0.75503E-08    0.23535E-05   -0.75503E-08    0.49583E-11
   119    0.32720E+04   -0.34963E+02    0.23106E-05   -0.34963E+02    0.95924E+00   -0.74777E-08    0.23106E-05   -0.74777E-08    0.48374E-11
   120    0.33071E+04   -0.35469E+02    0.22688E-05   -0.35469E+02    0.96610E+00   -0.73944E-08    0.22688E-05   -0.73944E-08    0.47202E-11
   121    0.33422E+04   -0.35962E+02    0.22281E-05   -0.35962E+02    0.97269E+00   -0.73016E-08    0.22281E-05   -0.73016E-08    0.46065E-11
   122    0.33773E+04   -0.36442E+02    0.21885E-05   -0.36442E+02    0.97872E+00   -0.72002E-08    0.21885E-05   -0.72002E-08    0.44964E-11
   123    0.34125E+04   -0.36909E+02    0.21500E-05   -0.36909E+02    0.98426E+00   -0.70914E-08    0.21500E-05   -0.70914E-08    0.43895E-11
   124    0.34478E+04   -0.37360E+02    0.21125E-05   -0.37360E+02    0.98939E+00   -0.69761E-08    0.21125E-05   -0.69761E-08    0.42859E-11
   125    0.34830E+04   -0.37796E+02    0.20759E-05   -0.37796E+02    0.99404E+00   -0.68556E-08    0.20759E-05   -0.68556E-08    0.41854E-11
   126    0.35183E+04   -0.38218E+02    0.20402E-05   -0.38218E+02    0.99828E+00   -0.67307E-08    0.20402E-05   -0.67307E-08    0.40879E-11
   127    0.35536E+04   -0.38623E+02    0.20055E-05   -0.38623E+02    0.10020E+01   -0.66025E-08    0.20055E-05   -0.66025E-08    0.39932E-11
   128    0.35888E+04   -0.39013E+02    0.19715E-05   -0.39013E+02    0.10053E+01   -0.64722E-08    0.19715E-05   -0.64722E-08    0.39013E-11
   129    0.36241E+04   -0.39385E+02    0.19384E-05   -0.39385E+02    0.10080E+01   -0.63408E-08    0.19384E-05   -0.63408E-08    0.38121E-11
   130    0.36594E+04   -0.39739E+02    0.19060E-05   -0.39739E+02    0.10102E+01   -0.62092E-08    0.19060E-05   -0.62092E-08    0.37253E-11
   131    0.36946E+04   -0.40076E+02    0.18744E-05   -0.40076E+02    0.10120E+01   -0.60785E-08    0.18744E-05   -0.60785E-08    0.36409E-11
   132    0.37299E+04   -0.40394E+02    0.18435E-05   -0.40394E+02    0.10132E+01   -0.59490E-08    0.18435E-05   -0.59490E-08    0.35589E-11
   133    0.37650E+04   -0.40695E+02    0.18132E-05   -0.40695E+02    0.10140E+01   -0.58209E-08    0.18132E-05   -0.58209E-08    0.34791E-11
   134    0.38002E+04   -0.40973E+02    0.17836E-05   -0.40973E+02    0.10144E+01   -0.56944E-08    0.17836E-05   -0.56944E-08    0.34015E-11
   135    0.38352E+04   -0.41233E+02    0.17547E-05   -0.41233E+02    0.10142E+01   -0.55698E-08    0.17547E-05   -0.55698E-08    0.33261E-11
   136    0.38702E+04   -0.41471E+02    0.17264E-05   -0.41471E+02    0.10134E+01   -0.54472E-08    0.17264E-05   -0.54472E-08    0.32528E-11
