#    L    TT             EE             TE             PP             TP          
   167    0.49798E+04    0.95307E+00   -0.43185E+02    0.32673E+07    0.38177E+04
   168    0.50085E+04    0.94245E+00   -0.42754E+02    0.32493E+07    0.37846E+04
   169    0.50370E+04    0.93153E+00   -0.42294E+02    0.32314E+07    0.37519E+04
   170    0.50651E+04    0.92055E+00   -0.41807E+02    0.32137E+07    0.37196E+04
   171    0.50928E+04    0.90951E+00   -0.41290E+02    0.31961E+07    0.36876E+04
   172    0.51200E+04    0.89833E+00   -0.40745E+02    0.31787E+07    0.36559E+04
   173    0.51468E+04    0.88702E+00   -0.40173E+02    0.31614E+07    0.36247E+04
   174    0.51732E+04    0.87587E+00   -0.39572E+02    0.31442E+07    0.35937E+04
   175    0.51992E+04    0.86458E+00   -0.38943E+02    0.31272E+07    0.35631E+04
   176    0.52247E+04    0.85339E+00   -0.38285E+02    0.31103E+07    0.35329E+04
   177    0.52497E+04    0.84222E+00   -0.37599E+02    0.30936E+07    0.35030E+04
   178    0.52743E+04    0.83129E+00   -0.36885E+02    0.30770E+07    0.34734E+04
   179    0.52983E+04    0.82031E+00   -0.36142E+02    0.30605E+07    0.34442E+04
   180    0.53221E+04    0.80950E+00   -0.35372E+02    0.30441E+07    0.34152E+04
   181    0.53452E+04    0.79886E+00   -0.34575E+02    0.30279E+07    0.33866E+04
   182    0.53679E+04    0.78847E+00   -0.33749E+02    0.30118E+07    0.33583E+04
   183    0.53901E+04    0.77827E+00   -0.32896E+02    0.29959E+07    0.33303E+04
   184    0.54118E+04    0.76831E+00   -0.32015E+02    0.29801E+07    0.33026E+04
   185    0.54331E+04    0.75876E+00   -0.31109E+02    0.29644E+07    0.32752E+04
   186    0.54535E+04    0.74948E+00   -0.30174E+02    0.29488E+07    0.32481E+04
   187    0.54737E+04    0.74060E+00   -0.29212E+02    0.29334E+07    0.32213E+04
   188    0.54933E+04    0.73212E+00   -0.28224E+02    0.29180E+07    0.31947E+04
   189    0.55123E+04    0.72407E+00   -0.27210E+02    0.29028E+07    0.31685E+04
   190    0.55312E+04    0.71651E+00   -0.26170E+02    0.28878E+07    0.31424E+04
   191    0.55491E+04    0.70946E+00   -0.25103E+02    0.28728E+07    0.31167E+04
   192    0.55666E+04    0.70295E+00   -0.24010E+02    0.28580E+07    0.30912E+04
   193    0.55835E+04    0.69702E+00   -0.22894E+02    0.28432E+07    0.30659E+04
   194    0.56000E+04    0.69170E+00   -0.21751E+02    0.28286E+07    0.30409E+04
   195    0.56159E+04    0.68704E+00   -0.20585E+02    0.28141E+07    0.30162E+04
   196    0.56311E+04    0.68307E+00   -0.19394E+02    0.27998E+07    0.29916E+04
   197    0.56458E+04    0.67983E+00   -0.18179E+02    0.27855E+07    0.29673E+04
   198    0.56600E+04    0.67736E+00   -0.16941E+02    0.27713E+07    0.29432E+04
   199    0.56737E+04    0.67568E+00   -0.15680E+02    0.27573E+07    0.29194E+04
   200    0.56868E+04    0.67484E+00   -0.14396E+02    0.27434E+07    0.28957E+04
   201    0.56993E+04    0.67490E+00   -0.13090E+02    0.27295E+07    0.28723E+04
   202    0.57112E+04    0.67585E+00   -0.11762E+02    0.27158E+07    0.28490E+04
   203    0.57225E+04    0.67777E+00   -0.10411E+02    0.27022E+07    0.28260E+04
   204    0.57331E+04    0.68067E+00   -0.90418E+01    0.26887E+07    0.28031E+04
   205    0.57432E+04    0.68460E+00   -0.76508E+01    0.26753E+07    0.27805E+04
   206    0.57525E+04    0.68961E+00   -0.62398E+01    0.26620E+07    0.27580E+04
   207    0.57614E+04    0.69570E+00   -0.48091E+01    0.26488E+07    0.27358E+04
   208    0.57694E+04    0.70295E+00   -0.33593E+01    0.26357E+07    0.27137E+04
   209    0.57768E+04    0.71136E+00   -0.18909E+01    0.26227E+07    0.26918E+04
   210    0.57836E+04    0.72099E+00   -0.40475E+00    0.26099E+07    0.26701E+04
   211    0.57898E+04    0.73188E+00    0.10991E+01    0.25971E+07    0.26486E+04
   212    0.57952E+04    0.74405E+00    0.26196E+01    0.25844E+07    0.26273E+04
   213    0.58000E+04    0.75755E+00    0.41567E+01    0.25718E+07    0.26062E+04
   214    0.58042E+04    0.77237E+00    0.57094E+01    0.25593E+07    0.25852E+04
   215    0.58077E+04    0.78872E+00    0.72767E+01    0.25469E+07    0.25645E+04
   216    0.58106E+04    0.80639E+00    0.88591E+01    0.25346E+07    0.25439E+04
