#    L    TT             EE             BB             TE          
   168    0.50074E+04    0.95252E+00    0.96418E-02   -0.42557E+02
   169    0.50357E+04    0.94188E+00    0.97703E-02   -0.42094E+02
   170    0.50637E+04    0.93117E+00    0.98997E-02   -0.41605E+02
   171    0.50912E+04    0.92041E+00    0.10030E-01   -0.41086E+02
   172    0.51183E+04    0.90952E+00    0.10162E-01   -0.40539E+02
   173    0.51449E+04    0.89851E+00    0.10294E-01   -0.39965E+02
   174    0.51712E+04    0.88766E+00    0.10428E-01   -0.39362E+02
   175    0.51971E+04    0.87668E+00    0.10562E-01   -0.38731E+02
   176    0.52224E+04    0.86581E+00    0.10698E-01   -0.38071E+02
   177    0.52473E+04    0.85496E+00    0.10835E-01   -0.37384E+02
   178    0.52717E+04    0.84436E+00    0.10972E-01   -0.36669E+02
   179    0.52956E+04    0.83372E+00    0.11111E-01   -0.35925E+02
   180    0.53192E+04    0.82325E+00    0.11251E-01   -0.35153E+02
   181    0.53423E+04    0.81297E+00    0.11391E-01   -0.34355E+02
   182    0.53648E+04    0.80294E+00    0.11533E-01   -0.33528E+02
   183    0.53868E+04    0.79310E+00    0.11676E-01   -0.32675E+02
   184    0.54084E+04    0.78352E+00    0.11819E-01   -0.31793E+02
   185    0.54294E+04    0.77435E+00    0.11964E-01   -0.30887E+02
   186    0.54497E+04    0.76545E+00    0.12110E-01   -0.29951E+02
   187    0.54697E+04    0.75697E+00    0.12257E-01   -0.28989E+02
   188    0.54892E+04    0.74889E+00    0.12404E-01   -0.28002E+02
   189    0.55081E+04    0.74125E+00    0.12553E-01   -0.26987E+02
   190    0.55268E+04    0.73410E+00    0.12702E-01   -0.25948E+02
   191    0.55445E+04    0.72748E+00    0.12853E-01   -0.24882E+02
   192    0.55619E+04    0.72139E+00    0.13004E-01   -0.23790E+02
   193    0.55786E+04    0.71589E+00    0.13157E-01   -0.22675E+02
   194    0.55949E+04    0.71101E+00    0.13310E-01   -0.21533E+02
   195    0.56106E+04    0.70679E+00    0.13464E-01   -0.20368E+02
   196    0.56257E+04    0.70327E+00    0.13619E-01   -0.19178E+02
   197    0.56403E+04    0.70048E+00    0.13775E-01   -0.17966E+02
   198    0.56543E+04    0.69847E+00    0.13931E-01   -0.16729E+02
   199    0.56678E+04    0.69726E+00    0.14089E-01   -0.15470E+02
   200    0.56807E+04    0.69689E+00    0.14247E-01   -0.14189E+02
   201    0.56931E+04    0.69742E+00    0.14406E-01   -0.12885E+02
   202    0.57048E+04    0.69885E+00    0.14566E-01   -0.11560E+02
   203    0.57160E+04    0.70125E+00    0.14727E-01   -0.10213E+02
   204    0.57264E+04    0.70464E+00    0.14888E-01   -0.88463E+01
   205    0.57363E+04    0.70907E+00    0.15050E-01   -0.74588E+01
   206    0.57455E+04    0.71457E+00    0.15213E-01   -0.60515E+01
   207    0.57541E+04    0.72116E+00    0.15377E-01   -0.46248E+01
   208    0.57620E+04    0.72891E+00    0.15542E-01   -0.31793E+01
   209    0.57693E+04    0.73782E+00    0.15707E-01   -0.17153E+01
   210    0.57759E+04    0.74796E+00    0.15873E-01   -0.23380E+00
   211    0.57819E+04    0.75936E+00    0.16040E-01    0.12651E+01
   212    0.57872E+04    0.77204E+00    0.16207E-01    0.27804E+01
   213    0.57919E+04    0.78605E+00    0.16375E-01    0.43122E+01
   214    0.57959E+04    0.80138E+00    0.16543E-01    0.58592E+01
   215    0.57993E+04    0.81823E+00    0.16712E-01    0.74206E+01
   216    0.58020E+04    0.83642E+00    0.16882E-01    0.89970E+01
   217    0.58041E+04    0.85609E+00    0.17052E-01    0.10586E+02
   218    0.58056E+04    0.87725E+00    0.17223E-01    0.12188E+02
   219    0.58064E+04    0.89991E+00    0.17394E-01    0.13805E+02
   220    0.58066E+04    0.92420E+00    0.17566E-01    0.15430E+02
   221    0.58062E+04    0.95006E+00    0.17738E-01    0.17068E+02
   222    0.58052E+04    0.97764E+00    0.17911E-01    0.18715E+02
   223    0.58034E+04    0.10069E+01    0.18084E-01    0.20374E+02
   224    0.58011E+04    0.10377E+01    0.18257E-01    0.22039E+02
   225    0.57982E+04    0.10704E+01    0.18431E-01    0.23715E+02
   226    0.57946E+04    0.11048E+01    0.18606E-01    0.25397E+02
   227    0.57903E+04    0.11410E+01    0.18781E-01    0.27087E+02
   228    0.57855E+04    0.11791E+01    0.18956E-01    0.28783E+02
   229    0.57801E+04    0.12190E+01    0.19131E-01    0.30483E+02
   230    0.57740E+04    0.12607E+01    0.19307E-01    0.32189E+02
   231    0.57672E+04    0.13044E+01    0.19483E-01    0.33900E+02
   232    0.57598E+04    0.13500E+01    0.19660E-01    0.35614E+02
   233    0.57518E+04    0.13977E+01    0.19836E-01    0.37329E+02
   234    0.57431E+04    0.14473E+01    0.20013E-01    0.39047E+02
   235    0.57338E+04    0.14989E+01    0.20190E-01    0.40766E+02
   236    0.57239E+04    0.15526E+01    0.20368E-01    0.42485E+02
   237    0.57133E+04    0.16083E+01    0.20545E-01    0.44204E+02
   238    0.57021E+04    0.16663E+01    0.20723E-01    0.45922E+02
   239    0.56904E+04    0.17262E+01    0.20900E-01    0.47638E+02
   240    0.56779E+04    0.17882E+01    0.21078E-01    0.49351E+02
   241    0.56649E+04    0.18525E+01    0.21256E-01    0.51060E+02
   242    0.56513E+04    0.19189E+01    0.21433E-01    0.52766E+02
   243    0.56371E+04    0.19875E+01    0.21611E-01    0.54466E+02
   244    0.56223E+04    0.20583E+01    0.21789E-01    0.56161E+02
   245    0.56069E+04    0.21313E+01    0.21967E-01    0.57849E+02
   246    0.55909E+04    0.22066E+01    0.22145E-01    0.59531E+02
   247    0.55744E+04    0.22841E+01    0.22323E-01    0.61204E+02
   248    0.55573E+04    0.23641E+01    0.22501E-01    0.62869E+02
   249    0.55398E+04    0.24461E+01    0.22678E-01    0.64524E+02
   250    0.55216E+04    0.25306E+01    0.22856E-01    0.66168E+02
   251    0.55029E+04    0.26173E+01    0.23033E-01    0.67803E+02
   252    0.54836E+04    0.27064E+01    0.23211E-01    0.69426E+02
   253    0.54639E+04    0.27976E+01    0.23388E-01    0.71035E+02
   254    0.54436E+04    0.28913E+01    0.23565E-01    0.72632E+02
   255    0.54228E+04    0.29872E+01    0.23742E-01    0.74215E+02
   256    0.54016E+04    0.30856E+01    0.23918E-01    0.75786E+02
   257    0.53799E+04    0.31861E+01    0.24095E-01    0.77335E+02
   258    0.53576E+04    0.32890E+01    0.24271E-01    0.78875E+02
   259    0.53349E+04    0.33942E+01    0.24446E-01    0.80392E+02
   260    0.53118E+04    0.35018E+01    0.24622E-01    0.81900E+02
   261    0.52881E+04    0.36115E+01    0.24797E-01    0.83377E+02
   262    0.52640E+04    0.37237E+01    0.24972E-01    0.84845E+02
   263    0.52397E+04    0.38381E+01    0.25146E-01    0.86297E+02
   264    0.52147E+04    0.39548E+01    0.25320E-01    0.87725E+02
   265    0.51893E+04    0.40737E+01    0.25493E-01    0.89122E+02
   266    0.51635E+04    0.41950E+01    0.25666E-01    0.90511E+02
   267    0.51372E+04    0.43184E+01    0.25839E-01    0.91868E+02
   268    0.51105E+04    0.44442E+01    0.26011E-01    0.93209E+02
   269    0.50833E+04    0.45721E+01    0.26183E-01    0.94526E+02
   270    0.50559E+04    0.47023E+01    0.26354E-01    0.95819E+02
   271    0.50280E+04    0.48345E+01    0.26525E-01    0.97089E+02
   272    0.49999E+04    0.49691E+01    0.26696E-01    0.98327E+02
   273    0.49713E+04    0.51056E+01    0.26865E-01    0.99549E+02
   274    0.49425E+04    0.52445E+01    0.27035E-01    0.10073E+03
   275    0.49132E+04    0.53852E+01    0.27204E-01    0.10190E+03
   276    0.48838E+04    0.55281E+01    0.27372E-01    0.10303E+03
