#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   121    0.34339E+04   -0.36795E+02    0.28408E-05   -0.36795E+02    0.10371E+01   -0.74406E-08    0.28408E-05   -0.74406E-08    0.63037E-11
   122    0.34689E+04   -0.37351E+02    0.27890E-05   -0.37351E+02    0.10456E+01   -0.73981E-08    0.27890E-05   -0.73981E-08    0.61628E-11
   123    0.35039E+04   -0.37897E+02    0.27385E-05   -0.37897E+02    0.10537E+01   -0.73468E-08    0.27385E-05   -0.73468E-08    0.60259E-11
   124    0.35391E+04   -0.38428E+02    0.26894E-05   -0.38428E+02    0.10614E+01   -0.72873E-08    0.26894E-05   -0.72873E-08    0.58930E-11
   125    0.35743E+04   -0.38947E+02    0.26414E-05   -0.38947E+02    0.10686E+01   -0.72199E-08    0.26414E-05   -0.72199E-08    0.57639E-11
   126    0.36095E+04   -0.39454E+02    0.25947E-05   -0.39454E+02    0.10754E+01   -0.71454E-08    0.25947E-05   -0.71454E-08    0.56384E-11
   127    0.36448E+04   -0.39948E+02    0.25491E-05   -0.39948E+02    0.10817E+01   -0.70640E-08    0.25491E-05   -0.70640E-08    0.55163E-11
   128    0.36800E+04   -0.40427E+02    0.25046E-05   -0.40427E+02    0.10876E+01   -0.69763E-08    0.25046E-05   -0.69763E-08    0.53977E-11
   129    0.37154E+04   -0.40892E+02    0.24612E-05   -0.40892E+02    0.10929E+01   -0.68829E-08    0.24612E-05   -0.68829E-08    0.52823E-11
   130    0.37507E+04   -0.41340E+02    0.24187E-05   -0.41340E+02    0.10977E+01   -0.67842E-08    0.24187E-05   -0.67842E-08    0.51700E-11
   131    0.37861E+04   -0.41775E+02    0.23772E-05   -0.41775E+02    0.11022E+01   -0.66807E-08    0.23772E-05   -0.66807E-08    0.50606E-11
   132    0.38215E+04   -0.42193E+02    0.23366E-05   -0.42193E+02    0.11061E+01   -0.65730E-08    0.23366E-05   -0.65730E-08    0.49541E-11
   133    0.38568E+04   -0.42596E+02    0.22969E-05   -0.42596E+02    0.11095E+01   -0.64617E-08    0.22969E-05   -0.64617E-08    0.48504E-11
   134    0.38922E+04   -0.42979E+02    0.22581E-05   -0.42979E+02    0.11125E+01   -0.63475E-08    0.22581E-05   -0.63475E-08    0.47494E-11
   135    0.39276E+04   -0.43346E+02    0.22202E-05   -0.43346E+02    0.11150E+01   -0.62307E-08    0.22202E-05   -0.62307E-08    0.46511E-11
   136    0.39628E+04   -0.43693E+02    0.21830E-05   -0.43693E+02    0.11169E+01   -0.61122E-08    0.21830E-05   -0.61122E-08    0.45553E-11
   137    0.39980E+04   -0.44022E+02    0.21468E-05   -0.44022E+02    0.11184E+01   -0.59924E-08    0.21468E-05   -0.59924E-08    0.44621E-11
   138    0.40332E+04   -0.44332E+02    0.21113E-05   -0.44332E+02    0.11193E+01   -0.58720E-08    0.21113E-05   -0.58720E-08    0.43714E-11
   139    0.40681E+04   -0.44621E+02    0.20765E-05   -0.44621E+02    0.11198E+01   -0.57516E-08    0.20765E-05   -0.57516E-08    0.42830E-11
   140    0.41031E+04   -0.44891E+02    0.20426E-05   -0.44891E+02    0.11198E+01   -0.56316E-08    0.20426E-05   -0.56316E-08    0.41969E-11
