#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   107    0.26186E+04   -0.28498E+02    0.31033E-05   -0.28498E+02    0.96097E+00   -0.13014E-07    0.31033E-05   -0.13014E-07    0.98432E-11
   108    0.26483E+04   -0.29119E+02    0.30375E-05   -0.29119E+02    0.97289E+00   -0.12808E-07    0.30375E-05   -0.12808E-07    0.95925E-11
   109    0.26782E+04   -0.29733E+02    0.29735E-05   -0.29733E+02    0.98435E+00   -0.12600E-07    0.29735E-05   -0.12600E-07    0.93496E-11
   110    0.27081E+04   -0.30338E+02    0.29114E-05   -0.30338E+02    0.99536E+00   -0.12392E-07    0.29114E-05   -0.12392E-07    0.91139E-11
   111    0.27382E+04   -0.30935E+02    0.28509E-05   -0.30935E+02    0.10060E+01   -0.12184E-07    0.28509E-05   -0.12184E-07    0.88852E-11
   112    0.27684E+04   -0.31525E+02    0.27920E-05   -0.31525E+02    0.10162E+01   -0.11976E-07    0.27920E-05   -0.11976E-07    0.86632E-11
   113    0.27989E+04   -0.32105E+02    0.27347E-05   -0.32105E+02    0.10259E+01   -0.11768E-07    0.27347E-05   -0.11768E-07    0.84477E-11
   114    0.28294E+04   -0.32674E+02    0.26790E-05   -0.32674E+02    0.10351E+01   -0.11561E-07    0.26790E-05   -0.11561E-07    0.82385E-11
   115    0.28602E+04   -0.33232E+02    0.26247E-05   -0.33232E+02    0.10440E+01   -0.11353E-07    0.26247E-05   -0.11353E-07    0.80355E-11
   116    0.28910E+04   -0.33779E+02    0.25719E-05   -0.33779E+02    0.10522E+01   -0.11146E-07    0.25719E-05   -0.11146E-07    0.78385E-11
   117    0.29220E+04   -0.34313E+02    0.25206E-05   -0.34313E+02    0.10600E+01   -0.10940E-07    0.25206E-05   -0.10940E-07    0.76474E-11
   118    0.29532E+04   -0.34836E+02    0.24706E-05   -0.34836E+02    0.10673E+01   -0.10734E-07    0.24706E-05   -0.10734E-07    0.74620E-11
   119    0.29844E+04   -0.35345E+02    0.24219E-05   -0.35345E+02    0.10742E+01   -0.10528E-07    0.24219E-05   -0.10528E-07    0.72820E-11
   120    0.30157E+04   -0.35840E+02    0.23746E-05   -0.35840E+02    0.10804E+01   -0.10324E-07    0.23746E-05   -0.10324E-07    0.71074E-11
   121    0.30470E+04   -0.36321E+02    0.23285E-05   -0.36321E+02    0.10862E+01   -0.10120E-07    0.23285E-05   -0.10120E-07    0.69380E-11
   122    0.30783E+04   -0.36786E+02    0.22837E-05   -0.36786E+02    0.10914E+01   -0.99170E-08    0.22837E-05   -0.99170E-08    0.67736E-11
   123    0.31097E+04   -0.37237E+02    0.22400E-05   -0.37237E+02    0.10960E+01   -0.97149E-08    0.22400E-05   -0.97149E-08    0.66140E-11
   124    0.31412E+04   -0.37670E+02    0.21975E-05   -0.37670E+02    0.11001E+01   -0.95139E-08    0.21975E-05   -0.95139E-08    0.64591E-11
   125    0.31726E+04   -0.38086E+02    0.21561E-05   -0.38086E+02    0.11036E+01   -0.93140E-08    0.21561E-05   -0.93140E-08    0.63087E-11
   126    0.32041E+04   -0.38486E+02    0.21157E-05   -0.38486E+02    0.11067E+01   -0.91153E-08    0.21157E-05   -0.91153E-08    0.61627E-11
   127    0.32355E+04   -0.38868E+02    0.20764E-05   -0.38868E+02    0.11090E+01   -0.89178E-08    0.20764E-05   -0.89178E-08    0.60207E-11
   128    0.32670E+04   -0.39232E+02    0.20380E-05   -0.39232E+02    0.11109E+01   -0.87217E-08    0.20380E-05   -0.87217E-08    0.58828E-11
   129    0.32984E+04   -0.39576E+02    0.20006E-05   -0.39576E+02    0.11122E+01   -0.85269E-08    0.20006E-05   -0.85269E-08    0.57488E-11
   130    0.33299E+04   -0.39900E+02    0.19641E-05   -0.39900E+02    0.11128E+01   -0.83337E-08    0.19641E-05   -0.83337E-08    0.56184E-11
   131    0.33613E+04   -0.40206E+02    0.19285E-05   -0.40206E+02    0.11129E+01   -0.81420E-08    0.19285E-05   -0.81420E-08    0.54914E-11
   132    0.33927E+04   -0.40490E+02    0.18937E-05   -0.40490E+02    0.11124E+01   -0.79521E-08    0.18937E-05   -0.79521E-08    0.53680E-11
   133    0.34240E+04   -0.40755E+02    0.18598E-05   -0.40755E+02    0.11113E+01   -0.77640E-08    0.18598E-05   -0.77640E-08    0.52478E-11
   134    0.34553E+04   -0.40996E+02    0.18267E-05   -0.40996E+02    0.11097E+01   -0.75779E-08    0.18267E-05   -0.75779E-08    0.51309E-11
   135    0.34865E+04   -0.41216E+02    0.17943E-05   -0.41216E+02    0.11075E+01   -0.73938E-08    0.17943E-05   -0.73938E-08    0.50171E-11
   136    0.35176E+04   -0.41412E+02    0.17627E-05   -0.41412E+02    0.11047E+01   -0.72120E-08    0.17627E-05   -0.72120E-08    0.49064E-11
   137    0.35485E+04   -0.41586E+02    0.17319E-05   -0.41586E+02    0.11013E+01   -0.70326E-08    0.17319E-05   -0.70326E-08    0.47987E-11
   138    0.35794E+04   -0.41736E+02    0.17017E-05   -0.41736E+02    0.10974E+01   -0.68557E-08    0.17017E-05   -0.68557E-08    0.46939E-11
   139    0.36100E+04   -0.41862E+02    0.16723E-05   -0.41862E+02    0.10931E+01   -0.66815E-08    0.16723E-05   -0.66815E-08    0.45920E-11
   140    0.36406E+04   -0.41965E+02    0.16436E-05   -0.41965E+02    0.10881E+01   -0.65100E-08    0.16436E-05   -0.65100E-08    0.44927E-11
   141    0.36709E+04   -0.42042E+02    0.16155E-05   -0.42042E+02    0.10826E+01   -0.63414E-08    0.16155E-05   -0.63414E-08    0.43962E-11
   142    0.37012E+04   -0.42095E+02    0.15881E-05   -0.42095E+02    0.10766E+01   -0.61759E-08    0.15881E-05   -0.61759E-08    0.43022E-11
   143    0.37313E+04   -0.42123E+02    0.15613E-05   -0.42123E+02    0.10702E+01   -0.60135E-08    0.15613E-05   -0.60135E-08    0.42107E-11
   144    0.37611E+04   -0.42126E+02    0.15351E-05   -0.42126E+02    0.10632E+01   -0.58545E-08    0.15351E-05   -0.58545E-08    0.41216E-11
   145    0.37907E+04   -0.42102E+02    0.15095E-05   -0.42102E+02    0.10558E+01   -0.56989E-08    0.15095E-05   -0.56989E-08    0.40349E-11
   146    0.38203E+04   -0.42053E+02    0.14845E-05   -0.42053E+02    0.10479E+01   -0.55469E-08    0.14845E-05   -0.55469E-08    0.39504E-11
   147    0.38495E+04   -0.41977E+02    0.14600E-05   -0.41977E+02    0.10396E+01   -0.53986E-08    0.14600E-05   -0.53986E-08    0.38680E-11
   148    0.38785E+04   -0.41874E+02    0.14360E-05   -0.41874E+02    0.10308E+01   -0.52541E-08    0.14360E-05   -0.52541E-08    0.37878E-11
   149    0.39073E+04   -0.41744E+02    0.14125E-05   -0.41744E+02    0.10216E+01   -0.51136E-08    0.14125E-05   -0.51136E-08    0.37095E-11
   150    0.39357E+04   -0.41585E+02    0.13895E-05   -0.41585E+02    0.10121E+01   -0.49773E-08    0.13895E-05   -0.49773E-08    0.36331E-11
   151    0.39639E+04   -0.41400E+02    0.13670E-05   -0.41400E+02    0.10022E+01   -0.48451E-08    0.13670E-05   -0.48451E-08    0.35586E-11
   152    0.39917E+04   -0.41187E+02    0.13449E-05   -0.41187E+02    0.99179E+00   -0.47171E-08    0.13449E-05   -0.47171E-08    0.34858E-11
   153    0.40193E+04   -0.40944E+02    0.13233E-05   -0.40944E+02    0.98111E+00   -0.45931E-08    0.13233E-05   -0.45931E-08    0.34148E-11
   154    0.40466E+04   -0.40673E+02    0.13021E-05   -0.40673E+02    0.97014E+00   -0.44731E-08    0.13021E-05   -0.44731E-08    0.33455E-11
   155    0.40735E+04   -0.40375E+02    0.12814E-05   -0.40375E+02    0.95889E+00   -0.43569E-08    0.12814E-05   -0.43569E-08    0.32779E-11
   156    0.41000E+04   -0.40048E+02    0.12610E-05   -0.40048E+02    0.94738E+00   -0.42444E-08    0.12610E-05   -0.42444E-08    0.32120E-11
   157    0.41264E+04   -0.39693E+02    0.12411E-05   -0.39693E+02    0.93561E+00   -0.41355E-08    0.12411E-05   -0.41355E-08    0.31476E-11
   158    0.41523E+04   -0.39309E+02    0.12216E-05   -0.39309E+02    0.92368E+00   -0.40302E-08    0.12216E-05   -0.40302E-08    0.30848E-11
