#    L    TT             EE             TE             PP             TP          
   156    0.41000E+04    0.94738E+00   -0.40048E+02    0.36259E+07    0.33476E+04
   157    0.41264E+04    0.93561E+00   -0.39693E+02    0.35993E+07    0.33161E+04
   158    0.41523E+04    0.92368E+00   -0.39309E+02    0.35729E+07    0.32849E+04
   159    0.41779E+04    0.91143E+00   -0.38897E+02    0.35468E+07    0.32541E+04
   160    0.42031E+04    0.89905E+00   -0.38455E+02    0.35209E+07    0.32237E+04
   161    0.42280E+04    0.88660E+00   -0.37985E+02    0.34952E+07    0.31936E+04
   162    0.42525E+04    0.87395E+00   -0.37488E+02    0.34697E+07    0.31640E+04
   163    0.42767E+04    0.86118E+00   -0.36961E+02    0.34444E+07    0.31346E+04
   164    0.43004E+04    0.84839E+00   -0.36407E+02    0.34193E+07    0.31056E+04
   165    0.43238E+04    0.83551E+00   -0.35823E+02    0.33945E+07    0.30770E+04
   166    0.43469E+04    0.82269E+00   -0.35212E+02    0.33698E+07    0.30487E+04
   167    0.43695E+04    0.80974E+00   -0.34573E+02    0.33454E+07    0.30207E+04
   168    0.43917E+04    0.79702E+00   -0.33905E+02    0.33211E+07    0.29930E+04
   169    0.44134E+04    0.78425E+00   -0.33208E+02    0.32971E+07    0.29657E+04
   170    0.44346E+04    0.77167E+00   -0.32484E+02    0.32733E+07    0.29386E+04
   171    0.44554E+04    0.75929E+00   -0.31730E+02    0.32497E+07    0.29118E+04
   172    0.44756E+04    0.74704E+00   -0.30948E+02    0.32262E+07    0.28854E+04
   173    0.44952E+04    0.73494E+00   -0.30139E+02    0.32030E+07    0.28592E+04
   174    0.45145E+04    0.72329E+00   -0.29302E+02    0.31800E+07    0.28332E+04
   175    0.45332E+04    0.71181E+00   -0.28437E+02    0.31571E+07    0.28076E+04
   176    0.45513E+04    0.70073E+00   -0.27544E+02    0.31345E+07    0.27822E+04
   177    0.45688E+04    0.69000E+00   -0.26625E+02    0.31121E+07    0.27570E+04
   178    0.45858E+04    0.67983E+00   -0.25678E+02    0.30898E+07    0.27321E+04
   179    0.46022E+04    0.66997E+00   -0.24704E+02    0.30677E+07    0.27075E+04
   180    0.46182E+04    0.66063E+00   -0.23705E+02    0.30459E+07    0.26831E+04
   181    0.46336E+04    0.65183E+00   -0.22680E+02    0.30242E+07    0.26589E+04
   182    0.46484E+04    0.64366E+00   -0.21630E+02    0.30027E+07    0.26350E+04
   183    0.46625E+04    0.63606E+00   -0.20555E+02    0.29814E+07    0.26113E+04
   184    0.46762E+04    0.62911E+00   -0.19455E+02    0.29602E+07    0.25879E+04
   185    0.46893E+04    0.62298E+00   -0.18334E+02    0.29393E+07    0.25647E+04
   186    0.47014E+04    0.61754E+00   -0.17187E+02    0.29185E+07    0.25418E+04
   187    0.47134E+04    0.61295E+00   -0.16017E+02    0.28979E+07    0.25190E+04
   188    0.47246E+04    0.60919E+00   -0.14825E+02    0.28775E+07    0.24965E+04
   189    0.47352E+04    0.60633E+00   -0.13611E+02    0.28572E+07    0.24743E+04
   190    0.47455E+04    0.60442E+00   -0.12377E+02    0.28372E+07    0.24522E+04
   191    0.47548E+04    0.60350E+00   -0.11120E+02    0.28172E+07    0.24304E+04
   192    0.47637E+04    0.60362E+00   -0.98434E+01    0.27975E+07    0.24088E+04
   193    0.47718E+04    0.60481E+00   -0.85481E+01    0.27780E+07    0.23874E+04
   194    0.47795E+04    0.60714E+00   -0.72326E+01    0.27586E+07    0.23663E+04
   195    0.47865E+04    0.61064E+00   -0.58994E+01    0.27393E+07    0.23453E+04
   196    0.47928E+04    0.61537E+00   -0.45479E+01    0.27203E+07    0.23246E+04
   197    0.47985E+04    0.62139E+00   -0.31801E+01    0.27013E+07    0.23041E+04
   198    0.48037E+04    0.62873E+00   -0.17954E+01    0.26826E+07    0.22837E+04
   199    0.48082E+04    0.63745E+00   -0.39497E+00    0.26640E+07    0.22636E+04
   200    0.48121E+04    0.64757E+00    0.10202E+01    0.26456E+07    0.22437E+04
   201    0.48154E+04    0.65918E+00    0.24505E+01    0.26273E+07    0.22240E+04
   202    0.48180E+04    0.67227E+00    0.38944E+01    0.26092E+07    0.22045E+04
   203    0.48200E+04    0.68689E+00    0.53522E+01    0.25912E+07    0.21852E+04
   204    0.48212E+04    0.70305E+00    0.68210E+01    0.25734E+07    0.21661E+04
