#    L    TT             EE             BB             TE          
   181    0.52233E+04    0.80020E+00    0.12139E-01   -0.33371E+02
   182    0.52448E+04    0.79007E+00    0.12289E-01   -0.32528E+02
   183    0.52656E+04    0.78014E+00    0.12440E-01   -0.31659E+02
   184    0.52861E+04    0.77050E+00    0.12593E-01   -0.30762E+02
   185    0.53060E+04    0.76130E+00    0.12746E-01   -0.29840E+02
   186    0.53251E+04    0.75240E+00    0.12900E-01   -0.28890E+02
   187    0.53440E+04    0.74394E+00    0.13055E-01   -0.27913E+02
   188    0.53624E+04    0.73591E+00    0.13212E-01   -0.26912E+02
   189    0.53801E+04    0.72836E+00    0.13369E-01   -0.25884E+02
   190    0.53976E+04    0.72132E+00    0.13527E-01   -0.24832E+02
   191    0.54142E+04    0.71484E+00    0.13686E-01   -0.23753E+02
   192    0.54304E+04    0.70893E+00    0.13846E-01   -0.22650E+02
   193    0.54459E+04    0.70365E+00    0.14007E-01   -0.21523E+02
   194    0.54610E+04    0.69902E+00    0.14169E-01   -0.20371E+02
   195    0.54755E+04    0.69508E+00    0.14332E-01   -0.19195E+02
   196    0.54894E+04    0.69188E+00    0.14496E-01   -0.17996E+02
   197    0.55028E+04    0.68945E+00    0.14661E-01   -0.16775E+02
   198    0.55157E+04    0.68784E+00    0.14826E-01   -0.15530E+02
   199    0.55279E+04    0.68707E+00    0.14992E-01   -0.14264E+02
   200    0.55397E+04    0.68717E+00    0.15159E-01   -0.12976E+02
   201    0.55508E+04    0.68822E+00    0.15327E-01   -0.11666E+02
   202    0.55613E+04    0.69021E+00    0.15496E-01   -0.10336E+02
   203    0.55713E+04    0.69321E+00    0.15666E-01   -0.89843E+01
   204    0.55805E+04    0.69723E+00    0.15836E-01   -0.76146E+01
   205    0.55892E+04    0.70233E+00    0.16007E-01   -0.62245E+01
   206    0.55972E+04    0.70854E+00    0.16179E-01   -0.48154E+01
   207    0.56046E+04    0.71587E+00    0.16352E-01   -0.33877E+01
   208    0.56112E+04    0.72439E+00    0.16525E-01   -0.19421E+01
   209    0.56173E+04    0.73411E+00    0.16700E-01   -0.47896E+00
   210    0.56227E+04    0.74509E+00    0.16874E-01    0.10008E+01
   211    0.56275E+04    0.75736E+00    0.17050E-01    0.24970E+01
   212    0.56315E+04    0.77093E+00    0.17226E-01    0.40088E+01
   213    0.56350E+04    0.78587E+00    0.17403E-01    0.55361E+01
   214    0.56378E+04    0.80216E+00    0.17580E-01    0.70776E+01
   215    0.56400E+04    0.81998E+00    0.17758E-01    0.86325E+01
   216    0.56415E+04    0.83917E+00    0.17937E-01    0.10201E+02
   217    0.56424E+04    0.85987E+00    0.18116E-01    0.11782E+02
   218    0.56427E+04    0.88208E+00    0.18296E-01    0.13375E+02
   219    0.56423E+04    0.90580E+00    0.18476E-01    0.14981E+02
   220    0.56413E+04    0.93118E+00    0.18656E-01    0.16595E+02
   221    0.56398E+04    0.95814E+00    0.18837E-01    0.18220E+02
   222    0.56376E+04    0.98684E+00    0.19019E-01    0.19853E+02
   223    0.56346E+04    0.10172E+01    0.19201E-01    0.21497E+02
   224    0.56312E+04    0.10492E+01    0.19383E-01    0.23147E+02
   225    0.56271E+04    0.10830E+01    0.19566E-01    0.24805E+02
   226    0.56223E+04    0.11186E+01    0.19749E-01    0.26469E+02
   227    0.56169E+04    0.11561E+01    0.19933E-01    0.28139E+02
   228    0.56110E+04    0.11953E+01    0.20116E-01    0.29815E+02
   229    0.56044E+04    0.12364E+01    0.20301E-01    0.31494E+02
   230    0.55972E+04    0.12794E+01    0.20485E-01    0.33177E+02
   231    0.55893E+04    0.13243E+01    0.20670E-01    0.34863E+02
   232    0.55808E+04    0.13711E+01    0.20855E-01    0.36552E+02
   233    0.55718E+04    0.14200E+01    0.21040E-01    0.38241E+02
   234    0.55620E+04    0.14709E+01    0.21226E-01    0.39931E+02
   235    0.55517E+04    0.15237E+01    0.21411E-01    0.41620E+02
   236    0.55406E+04    0.15786E+01    0.21597E-01    0.43309E+02
   237    0.55290E+04    0.16356E+01    0.21783E-01    0.44996E+02
   238    0.55168E+04    0.16948E+01    0.21969E-01    0.46681E+02
   239    0.55041E+04    0.17560E+01    0.22155E-01    0.48363E+02
   240    0.54906E+04    0.18192E+01    0.22341E-01    0.50040E+02
   241    0.54766E+04    0.18847E+01    0.22527E-01    0.51713E+02
   242    0.54621E+04    0.19523E+01    0.22713E-01    0.53380E+02
   243    0.54469E+04    0.20222E+01    0.22899E-01    0.55040E+02
   244    0.54312E+04    0.20942E+01    0.23086E-01    0.56695E+02
   245    0.54149E+04    0.21684E+01    0.23272E-01    0.58340E+02
   246    0.53980E+04    0.22449E+01    0.23458E-01    0.59977E+02
   247    0.53806E+04    0.23235E+01    0.23644E-01    0.61605E+02
   248    0.53626E+04    0.24047E+01    0.23830E-01    0.63223E+02
   249    0.53442E+04    0.24878E+01    0.24015E-01    0.64830E+02
   250    0.53252E+04    0.25735E+01    0.24201E-01    0.66424E+02
   251    0.53057E+04    0.26613E+01    0.24386E-01    0.68007E+02
   252    0.52856E+04    0.27514E+01    0.24572E-01    0.69577E+02
   253    0.52651E+04    0.28438E+01    0.24757E-01    0.71133E+02
   254    0.52441E+04    0.29385E+01    0.24942E-01    0.72674E+02
   255    0.52226E+04    0.30354E+01    0.25126E-01    0.74200E+02
   256    0.52006E+04    0.31348E+01    0.25311E-01    0.75712E+02
   257    0.51781E+04    0.32362E+01    0.25495E-01    0.77202E+02
   258    0.51552E+04    0.33400E+01    0.25678E-01    0.78681E+02
   259    0.51318E+04    0.34461E+01    0.25862E-01    0.80135E+02
   260    0.51081E+04    0.35545E+01    0.26045E-01    0.81580E+02
   261    0.50838E+04    0.36650E+01    0.26227E-01    0.82992E+02
   262    0.50591E+04    0.37779E+01    0.26410E-01    0.84394E+02
   263    0.50342E+04    0.38929E+01    0.26591E-01    0.85779E+02
   264    0.50087E+04    0.40102E+01    0.26773E-01    0.87139E+02
   265    0.49827E+04    0.41296E+01    0.26954E-01    0.88467E+02
   266    0.49564E+04    0.42514E+01    0.27134E-01    0.89784E+02
   267    0.49297E+04    0.43752E+01    0.27314E-01    0.91070E+02
   268    0.49025E+04    0.45013E+01    0.27494E-01    0.92338E+02
   269    0.48749E+04    0.46294E+01    0.27673E-01    0.93582E+02
   270    0.48470E+04    0.47597E+01    0.27851E-01    0.94801E+02
   271    0.48188E+04    0.48920E+01    0.28029E-01    0.95995E+02
   272    0.47903E+04    0.50266E+01    0.28207E-01    0.97157E+02
   273    0.47614E+04    0.51630E+01    0.28384E-01    0.98302E+02
   274    0.47322E+04    0.53016E+01    0.28560E-01    0.99407E+02
   275    0.47027E+04    0.54421E+01    0.28736E-01    0.10049E+03
   276    0.46729E+04    0.55845E+01    0.28911E-01    0.10154E+03
   277    0.46428E+04    0.57290E+01    0.29086E-01    0.10257E+03
   278    0.46124E+04    0.58753E+01    0.29260E-01    0.10357E+03
   279    0.45818E+04    0.60235E+01    0.29433E-01    0.10453E+03
   280    0.45509E+04    0.61735E+01    0.29605E-01    0.10547E+03
   281    0.45199E+04    0.63254E+01    0.29777E-01    0.10637E+03
   282    0.44884E+04    0.64789E+01    0.29949E-01    0.10724E+03
   283    0.44569E+04    0.66342E+01    0.30119E-01    0.10808E+03
   284    0.44251E+04    0.67913E+01    0.30289E-01    0.10889E+03
   285    0.43931E+04    0.69501E+01    0.30458E-01    0.10967E+03
   286    0.43609E+04    0.71104E+01    0.30626E-01    0.11040E+03
   287    0.43285E+04    0.72723E+01    0.30794E-01    0.11111E+03
   288    0.42960E+04    0.74357E+01    0.30961E-01    0.11179E+03
   289    0.42633E+04    0.76007E+01    0.31127E-01    0.11243E+03
   290    0.42304E+04    0.77669E+01    0.31293E-01    0.11303E+03
   291    0.41975E+04    0.79353E+01    0.31458E-01    0.11360E+03
   292    0.41641E+04    0.81045E+01    0.31622E-01    0.11413E+03
   293    0.41310E+04    0.82743E+01    0.31785E-01    0.11462E+03
   294    0.40975E+04    0.84462E+01    0.31948E-01    0.11509E+03
   295    0.40642E+04    0.86186E+01    0.32109E-01    0.11551E+03
   296    0.40306E+04    0.87930E+01    0.32271E-01    0.11590E+03
   297    0.39970E+04    0.89673E+01    0.32431E-01    0.11625E+03
   298    0.39632E+04    0.91435E+01    0.32591E-01    0.11656E+03
   299    0.39294E+04    0.93211E+01    0.32749E-01    0.11683E+03
   300    0.38956E+04    0.94984E+01    0.32907E-01    0.11707E+03
   301    0.38617E+04    0.96770E+01    0.33065E-01    0.11727E+03
   302    0.38278E+04    0.98560E+01    0.33221E-01    0.11743E+03
   303    0.37939E+04    0.10036E+02    0.33377E-01    0.11756E+03
   304    0.37600E+04    0.10218E+02    0.33532E-01    0.11763E+03
   305    0.37261E+04    0.10399E+02    0.33686E-01    0.11768E+03
   306    0.36922E+04    0.10581E+02    0.33839E-01    0.11768E+03
   307    0.36583E+04    0.10763E+02    0.33992E-01    0.11764E+03
   308    0.36245E+04    0.10948E+02    0.34144E-01    0.11758E+03
   309    0.35908E+04    0.11131E+02    0.34295E-01    0.11746E+03
   310    0.35570E+04    0.11314E+02    0.34445E-01    0.11731E+03
   311    0.35234E+04    0.11499E+02    0.34595E-01    0.11712E+03
   312    0.34899E+04    0.11683E+02    0.34744E-01    0.11689E+03
   313    0.34564E+04    0.11868E+02    0.34892E-01    0.11663E+03
   314    0.34231E+04    0.12052E+02    0.35040E-01    0.11632E+03
   315    0.33898E+04    0.12236E+02    0.35186E-01    0.11598E+03
   316    0.33567E+04    0.12421E+02    0.35333E-01    0.11560E+03
   317    0.33237E+04    0.12604E+02    0.35478E-01    0.11518E+03
   318    0.32908E+04    0.12789E+02    0.35623E-01    0.11472E+03
   319    0.32581E+04    0.12972E+02    0.35767E-01    0.11422E+03
   320    0.32256E+04    0.13155E+02    0.35911E-01    0.11369E+03
   321    0.31932E+04    0.13339E+02    0.36054E-01    0.11312E+03
   322    0.31610E+04    0.13521E+02    0.36196E-01    0.11252E+03
   323    0.31290E+04    0.13702E+02    0.36338E-01    0.11187E+03
   324    0.30971E+04    0.13884E+02    0.36479E-01    0.11118E+03
   325    0.30656E+04    0.14063E+02    0.36619E-01    0.11047E+03
   326    0.30341E+04    0.14243E+02    0.36759E-01    0.10971E+03
   327    0.30030E+04    0.14422E+02    0.36898E-01    0.10891E+03
   328    0.29720E+04    0.14599E+02    0.37037E-01    0.10809E+03
   329    0.29413E+04    0.14775E+02    0.37175E-01    0.10723E+03
   330    0.29109E+04    0.14950E+02    0.37312E-01    0.10632E+03
   331    0.28807E+04    0.15124E+02    0.37449E-01    0.10539E+03
   332    0.28508E+04    0.15297E+02    0.37586E-01    0.10443E+03
   333    0.28211E+04    0.15469E+02    0.37722E-01    0.10344E+03
   334    0.27918E+04    0.15639E+02    0.37858E-01    0.10240E+03
   335    0.27627E+04    0.15807E+02    0.37993E-01    0.10133E+03
   336    0.27338E+04    0.15974E+02    0.38128E-01    0.10024E+03
   337    0.27054E+04    0.16140E+02    0.38263E-01    0.99097E+02
   338    0.26772E+04    0.16303E+02    0.38397E-01    0.97935E+02
   339    0.26494E+04    0.16466E+02    0.38531E-01    0.96738E+02
   340    0.26219E+04    0.16626E+02    0.38664E-01    0.95520E+02
   341    0.25946E+04    0.16784E+02    0.38797E-01    0.94258E+02
   342    0.25677E+04    0.16941E+02    0.38930E-01    0.92969E+02
   343    0.25412E+04    0.17095E+02    0.39063E-01    0.91652E+02
   344    0.25151E+04    0.17247E+02    0.39195E-01    0.90307E+02
   345    0.24893E+04    0.17397E+02    0.39327E-01    0.88934E+02
   346    0.24638E+04    0.17545E+02    0.39459E-01    0.87541E+02
   347    0.24388E+04    0.17690E+02    0.39591E-01    0.86113E+02
   348    0.24141E+04    0.17833E+02    0.39722E-01    0.84657E+02
   349    0.23897E+04    0.17973E+02    0.39854E-01    0.83173E+02
   350    0.23658E+04    0.18110E+02    0.39985E-01    0.81670E+02
   351    0.23424E+04    0.18246E+02    0.40116E-01    0.80139E+02
   352    0.23193E+04    0.18378E+02    0.40247E-01    0.78581E+02
   353    0.22966E+04    0.18508E+02    0.40378E-01    0.77011E+02
   354    0.22742E+04    0.18635E+02    0.40509E-01    0.75406E+02
   355    0.22523E+04    0.18759E+02    0.40640E-01    0.73782E+02
   356    0.22308E+04    0.18880E+02    0.40771E-01    0.72145E+02
   357    0.22097E+04    0.18999E+02    0.40902E-01    0.70481E+02
   358    0.21892E+04    0.19113E+02    0.41033E-01    0.68805E+02
   359    0.21689E+04    0.19225E+02    0.41164E-01    0.67103E+02
   360    0.21491E+04    0.19334E+02    0.41295E-01    0.65384E+02
   361    0.21297E+04    0.19440E+02    0.41427E-01    0.63646E+02
   362    0.21108E+04    0.19543E+02    0.41558E-01    0.61890E+02
   363    0.20923E+04    0.19643E+02    0.41690E-01    0.60120E+02
   364    0.20742E+04    0.19738E+02    0.41822E-01    0.58331E+02
   365    0.20566E+04    0.19831E+02    0.41954E-01    0.56529E+02
   366    0.20394E+04    0.19921E+02    0.42087E-01    0.54713E+02
   367    0.20227E+04    0.20006E+02    0.42220E-01    0.52883E+02
   368    0.20063E+04    0.20089E+02    0.42353E-01    0.51042E+02
   369    0.19905E+04    0.20168E+02    0.42486E-01    0.49187E+02
   370    0.19752E+04    0.20243E+02    0.42620E-01    0.47324E+02
   371    0.19602E+04    0.20315E+02    0.42754E-01    0.45448E+02
   372    0.19457E+04    0.20383E+02    0.42888E-01    0.43565E+02
   373    0.19316E+04    0.20448E+02    0.43023E-01    0.41671E+02
   374    0.19180E+04    0.20509E+02    0.43158E-01    0.39771E+02
   375    0.19048E+04    0.20566E+02    0.43294E-01    0.37864E+02
   376    0.18921E+04    0.20620E+02    0.43430E-01    0.35950E+02
   377    0.18799E+04    0.20670E+02    0.43567E-01    0.34032E+02
   378    0.18681E+04    0.20716E+02    0.43704E-01    0.32108E+02
   379    0.18567E+04    0.20759E+02    0.43842E-01    0.30182E+02
   380    0.18459E+04    0.20798E+02    0.43981E-01    0.28251E+02
   381    0.18354E+04    0.20831E+02    0.44120E-01    0.26319E+02
   382    0.18254E+04    0.20862E+02    0.44259E-01    0.24387E+02
   383    0.18158E+04    0.20889E+02    0.44400E-01    0.22453E+02
   384    0.18068E+04    0.20911E+02    0.44541E-01    0.20520E+02
   385    0.17981E+04    0.20931E+02    0.44683E-01    0.18588E+02
   386    0.17899E+04    0.20946E+02    0.44825E-01    0.16659E+02
   387    0.17820E+04    0.20956E+02    0.44968E-01    0.14732E+02
   388    0.17747E+04    0.20963E+02    0.45112E-01    0.12810E+02
   389    0.17678E+04    0.20964E+02    0.45257E-01    0.10892E+02
   390    0.17613E+04    0.20964E+02    0.45402E-01    0.89805E+01
   391    0.17553E+04    0.20959E+02    0.45548E-01    0.70741E+01
   392    0.17496E+04    0.20952E+02    0.45695E-01    0.51760E+01
   393    0.17445E+04    0.20940E+02    0.45843E-01    0.32852E+01
   394    0.17397E+04    0.20923E+02    0.45992E-01    0.14042E+01
