#    L    TT             EE             BB             TE          
   269    0.54426E+04    0.48613E+01    0.22938E-01    0.10320E+03
   270    0.54116E+04    0.49988E+01    0.23088E-01    0.10457E+03
   271    0.53802E+04    0.51385E+01    0.23238E-01    0.10591E+03
   272    0.53486E+04    0.52806E+01    0.23388E-01    0.10722E+03
   273    0.53164E+04    0.54245E+01    0.23537E-01    0.10851E+03
   274    0.52839E+04    0.55710E+01    0.23686E-01    0.10976E+03
   275    0.52511E+04    0.57193E+01    0.23834E-01    0.11099E+03
   276    0.52180E+04    0.58697E+01    0.23982E-01    0.11217E+03
   277    0.51844E+04    0.60223E+01    0.24129E-01    0.11334E+03
   278    0.51506E+04    0.61770E+01    0.24275E-01    0.11447E+03
   279    0.51164E+04    0.63335E+01    0.24421E-01    0.11556E+03
   280    0.50820E+04    0.64921E+01    0.24567E-01    0.11664E+03
   281    0.50474E+04    0.66526E+01    0.24711E-01    0.11767E+03
   282    0.50123E+04    0.68149E+01    0.24855E-01    0.11867E+03
   283    0.49771E+04    0.69791E+01    0.24999E-01    0.11963E+03
   284    0.49417E+04    0.71452E+01    0.25142E-01    0.12056E+03
   285    0.49060E+04    0.73131E+01    0.25284E-01    0.12146E+03
   286    0.48700E+04    0.74827E+01    0.25426E-01    0.12232E+03
   287    0.48338E+04    0.76540E+01    0.25567E-01    0.12314E+03
   288    0.47974E+04    0.78270E+01    0.25707E-01    0.12393E+03
   289    0.47609E+04    0.80016E+01    0.25847E-01    0.12468E+03
   290    0.47242E+04    0.81776E+01    0.25986E-01    0.12540E+03
   291    0.46873E+04    0.83558E+01    0.26125E-01    0.12606E+03
   292    0.46500E+04    0.85351E+01    0.26263E-01    0.12671E+03
   293    0.46128E+04    0.87150E+01    0.26400E-01    0.12730E+03
   294    0.45754E+04    0.88971E+01    0.26536E-01    0.12786E+03
   295    0.45381E+04    0.90799E+01    0.26672E-01    0.12837E+03
   296    0.45004E+04    0.92648E+01    0.26807E-01    0.12885E+03
   297    0.44627E+04    0.94496E+01    0.26942E-01    0.12930E+03
   298    0.44248E+04    0.96366E+01    0.27076E-01    0.12969E+03
   299    0.43870E+04    0.98250E+01    0.27209E-01    0.13005E+03
