#    L    TT             EE             TE             PP             TP          
   204    0.56697E+04    0.67917E+00   -0.76965E+01    0.28743E+07    0.28382E+04
   205    0.56787E+04    0.68398E+00   -0.62828E+01    0.28604E+07    0.28152E+04
   206    0.56869E+04    0.68991E+00   -0.48495E+01    0.28465E+07    0.27923E+04
   207    0.56947E+04    0.69699E+00   -0.33973E+01    0.28327E+07    0.27696E+04
   208    0.57016E+04    0.70526E+00   -0.19266E+01    0.28191E+07    0.27472E+04
   209    0.57079E+04    0.71475E+00   -0.43783E+00    0.28055E+07    0.27249E+04
   210    0.57136E+04    0.72551E+00    0.10680E+01    0.27921E+07    0.27028E+04
   211    0.57186E+04    0.73757E+00    0.25907E+01    0.27787E+07    0.26810E+04
   212    0.57229E+04    0.75097E+00    0.41294E+01    0.27655E+07    0.26593E+04
   213    0.57266E+04    0.76574E+00    0.56840E+01    0.27523E+07    0.26378E+04
   214    0.57296E+04    0.78187E+00    0.72534E+01    0.27392E+07    0.26165E+04
   215    0.57320E+04    0.79957E+00    0.88365E+01    0.27263E+07    0.25953E+04
   216    0.57336E+04    0.81865E+00    0.10434E+02    0.27134E+07    0.25744E+04
   217    0.57348E+04    0.83926E+00    0.12044E+02    0.27007E+07    0.25537E+04
   218    0.57352E+04    0.86140E+00    0.13666E+02    0.26880E+07    0.25331E+04
   219    0.57350E+04    0.88507E+00    0.15302E+02    0.26754E+07    0.25127E+04
   220    0.57341E+04    0.91043E+00    0.16946E+02    0.26629E+07    0.24924E+04
   221    0.57327E+04    0.93740E+00    0.18601E+02    0.26505E+07    0.24724E+04
   222    0.57306E+04    0.96612E+00    0.20266E+02    0.26382E+07    0.24525E+04
   223    0.57277E+04    0.99653E+00    0.21941E+02    0.26260E+07    0.24328E+04
   224    0.57244E+04    0.10286E+01    0.23623E+02    0.26139E+07    0.24133E+04
   225    0.57204E+04    0.10625E+01    0.25313E+02    0.26019E+07    0.23939E+04
   226    0.57157E+04    0.10983E+01    0.27009E+02    0.25899E+07    0.23747E+04
   227    0.57104E+04    0.11359E+01    0.28712E+02    0.25780E+07    0.23556E+04
   228    0.57045E+04    0.11753E+01    0.30421E+02    0.25663E+07    0.23367E+04
