#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   141    0.41157E+04   -0.45323E+02    0.20445E-05   -0.45323E+02    0.11288E+01   -0.56553E-08    0.20445E-05   -0.56553E-08    0.43543E-11
   142    0.41502E+04   -0.45537E+02    0.20112E-05   -0.45537E+02    0.11272E+01   -0.55304E-08    0.20112E-05   -0.55304E-08    0.42687E-11
   143    0.41847E+04   -0.45730E+02    0.19786E-05   -0.45730E+02    0.11252E+01   -0.54071E-08    0.19786E-05   -0.54071E-08    0.41852E-11
   144    0.42189E+04   -0.45900E+02    0.19467E-05   -0.45900E+02    0.11227E+01   -0.52863E-08    0.19467E-05   -0.52863E-08    0.41039E-11
   145    0.42529E+04   -0.46048E+02    0.19156E-05   -0.46048E+02    0.11198E+01   -0.51688E-08    0.19156E-05   -0.51688E-08    0.40246E-11
   146    0.42871E+04   -0.46172E+02    0.18850E-05   -0.46172E+02    0.11163E+01   -0.50555E-08    0.18850E-05   -0.50555E-08    0.39473E-11
   147    0.43208E+04   -0.46272E+02    0.18551E-05   -0.46272E+02    0.11123E+01   -0.49471E-08    0.18551E-05   -0.49471E-08    0.38719E-11
   148    0.43544E+04   -0.46349E+02    0.18258E-05   -0.46349E+02    0.11079E+01   -0.48445E-08    0.18258E-05   -0.48445E-08    0.37983E-11
   149    0.43879E+04   -0.46401E+02    0.17970E-05   -0.46401E+02    0.11029E+01   -0.47486E-08    0.17970E-05   -0.47486E-08    0.37265E-11
   150    0.44211E+04   -0.46427E+02    0.17688E-05   -0.46427E+02    0.10976E+01   -0.46602E-08    0.17688E-05   -0.46602E-08    0.36563E-11
   151    0.44541E+04   -0.46429E+02    0.17411E-05   -0.46429E+02    0.10918E+01   -0.45799E-08    0.17411E-05   -0.45799E-08    0.35878E-11
   152    0.44869E+04   -0.46406E+02    0.17140E-05   -0.46406E+02    0.10855E+01   -0.45074E-08    0.17140E-05   -0.45074E-08    0.35208E-11
   153    0.45194E+04   -0.46356E+02    0.16874E-05   -0.46356E+02    0.10788E+01   -0.44421E-08    0.16874E-05   -0.44421E-08    0.34554E-11
   154    0.45517E+04   -0.46280E+02    0.16612E-05   -0.46280E+02    0.10718E+01   -0.43836E-08    0.16612E-05   -0.43836E-08    0.33915E-11
   155    0.45838E+04   -0.46178E+02    0.16356E-05   -0.46178E+02    0.10643E+01   -0.43313E-08    0.16356E-05   -0.43313E-08    0.33291E-11
   156    0.46155E+04   -0.46051E+02    0.16104E-05   -0.46051E+02    0.10565E+01   -0.42848E-08    0.16104E-05   -0.42848E-08    0.32682E-11
   157    0.46471E+04   -0.45896E+02    0.15857E-05   -0.45896E+02    0.10483E+01   -0.42434E-08    0.15857E-05   -0.42434E-08    0.32086E-11
   158    0.46784E+04   -0.45714E+02    0.15615E-05   -0.45714E+02    0.10398E+01   -0.42067E-08    0.15615E-05   -0.42067E-08    0.31505E-11
   159    0.47093E+04   -0.45506E+02    0.15378E-05   -0.45506E+02    0.10308E+01   -0.41741E-08    0.15378E-05   -0.41741E-08    0.30937E-11
   160    0.47400E+04   -0.45269E+02    0.15145E-05   -0.45269E+02    0.10216E+01   -0.41451E-08    0.15145E-05   -0.41451E-08    0.30382E-11
   161    0.47705E+04   -0.45006E+02    0.14916E-05   -0.45006E+02    0.10122E+01   -0.41193E-08    0.14916E-05   -0.41193E-08    0.29840E-11
   162    0.48006E+04   -0.44716E+02    0.14692E-05   -0.44716E+02    0.10023E+01   -0.40960E-08    0.14692E-05   -0.40960E-08    0.29311E-11
   163    0.48305E+04   -0.44397E+02    0.14472E-05   -0.44397E+02    0.99223E+00   -0.40747E-08    0.14472E-05   -0.40747E-08    0.28793E-11
