#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   157    0.50859E+04   -0.48935E+02    0.16710E-05   -0.48935E+02    0.10858E+01   -0.45234E-08    0.16710E-05   -0.45234E-08    0.26349E-11
   158    0.51205E+04   -0.48744E+02    0.16474E-05   -0.48744E+02    0.10772E+01   -0.44879E-08    0.16474E-05   -0.44879E-08    0.25856E-11
   159    0.51548E+04   -0.48524E+02    0.16243E-05   -0.48524E+02    0.10681E+01   -0.44529E-08    0.16243E-05   -0.44529E-08    0.25374E-11
   160    0.51888E+04   -0.48274E+02    0.16015E-05   -0.48274E+02    0.10587E+01   -0.44182E-08    0.16015E-05   -0.44182E-08    0.24904E-11
   161    0.52226E+04   -0.47995E+02    0.15792E-05   -0.47995E+02    0.10490E+01   -0.43837E-08    0.15792E-05   -0.43837E-08    0.24445E-11
   162    0.52559E+04   -0.47688E+02    0.15572E-05   -0.47688E+02    0.10390E+01   -0.43490E-08    0.15572E-05   -0.43490E-08    0.23997E-11
   163    0.52891E+04   -0.47351E+02    0.15356E-05   -0.47351E+02    0.10287E+01   -0.43140E-08    0.15356E-05   -0.43140E-08    0.23559E-11
   164    0.53217E+04   -0.46985E+02    0.15144E-05   -0.46985E+02    0.10182E+01   -0.42783E-08    0.15144E-05   -0.42783E-08    0.23132E-11
   165    0.53541E+04   -0.46589E+02    0.14936E-05   -0.46589E+02    0.10074E+01   -0.42417E-08    0.14936E-05   -0.42417E-08    0.22716E-11
   166    0.53861E+04   -0.46163E+02    0.14732E-05   -0.46163E+02    0.99642E+00   -0.42040E-08    0.14732E-05   -0.42040E-08    0.22309E-11
   167    0.54179E+04   -0.45709E+02    0.14531E-05   -0.45709E+02    0.98508E+00   -0.41649E-08    0.14531E-05   -0.41649E-08    0.21911E-11
   168    0.54491E+04   -0.45224E+02    0.14333E-05   -0.45224E+02    0.97376E+00   -0.41242E-08    0.14333E-05   -0.41242E-08    0.21523E-11
   169    0.54799E+04   -0.44708E+02    0.14139E-05   -0.44708E+02    0.96216E+00   -0.40816E-08    0.14139E-05   -0.40816E-08    0.21144E-11
   170    0.55103E+04   -0.44162E+02    0.13948E-05   -0.44162E+02    0.95049E+00   -0.40369E-08    0.13948E-05   -0.40369E-08    0.20773E-11
