#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   140    0.43647E+04   -0.47596E+02    0.21568E-05   -0.47596E+02    0.11704E+01   -0.55399E-08    0.21568E-05   -0.55399E-08    0.41150E-11
   141    0.44022E+04   -0.47865E+02    0.21226E-05   -0.47865E+02    0.11700E+01   -0.54622E-08    0.21226E-05   -0.54622E-08    0.40324E-11
   142    0.44397E+04   -0.48112E+02    0.20892E-05   -0.48112E+02    0.11690E+01   -0.53881E-08    0.20892E-05   -0.53881E-08    0.39520E-11
   143    0.44770E+04   -0.48337E+02    0.20565E-05   -0.48337E+02    0.11676E+01   -0.53175E-08    0.20565E-05   -0.53175E-08    0.38736E-11
   144    0.45142E+04   -0.48539E+02    0.20244E-05   -0.48539E+02    0.11657E+01   -0.52503E-08    0.20244E-05   -0.52503E-08    0.37973E-11
   145    0.45512E+04   -0.48718E+02    0.19931E-05   -0.48718E+02    0.11633E+01   -0.51866E-08    0.19931E-05   -0.51866E-08    0.37229E-11
   146    0.45882E+04   -0.48873E+02    0.19623E-05   -0.48873E+02    0.11603E+01   -0.51262E-08    0.19623E-05   -0.51262E-08    0.36504E-11
   147    0.46249E+04   -0.49003E+02    0.19321E-05   -0.49003E+02    0.11568E+01   -0.50692E-08    0.19321E-05   -0.50692E-08    0.35797E-11
   148    0.46614E+04   -0.49109E+02    0.19025E-05   -0.49109E+02    0.11529E+01   -0.50155E-08    0.19025E-05   -0.50155E-08    0.35107E-11
   149    0.46978E+04   -0.49191E+02    0.18735E-05   -0.49191E+02    0.11484E+01   -0.49650E-08    0.18735E-05   -0.49650E-08    0.34434E-11
   150    0.47339E+04   -0.49244E+02    0.18451E-05   -0.49244E+02    0.11435E+01   -0.49176E-08    0.18451E-05   -0.49176E-08    0.33776E-11
   151    0.47698E+04   -0.49274E+02    0.18171E-05   -0.49274E+02    0.11382E+01   -0.48734E-08    0.18171E-05   -0.48734E-08    0.33134E-11
   152    0.48054E+04   -0.49277E+02    0.17897E-05   -0.49277E+02    0.11322E+01   -0.48321E-08    0.17897E-05   -0.48321E-08    0.32507E-11
   153    0.48408E+04   -0.49253E+02    0.17628E-05   -0.49253E+02    0.11259E+01   -0.47933E-08    0.17628E-05   -0.47933E-08    0.31895E-11
   154    0.48760E+04   -0.49202E+02    0.17364E-05   -0.49202E+02    0.11192E+01   -0.47568E-08    0.17364E-05   -0.47568E-08    0.31297E-11
   155    0.49109E+04   -0.49124E+02    0.17105E-05   -0.49124E+02    0.11120E+01   -0.47223E-08    0.17105E-05   -0.47223E-08    0.30713E-11
   156    0.49454E+04   -0.49020E+02    0.16850E-05   -0.49020E+02    0.11045E+01   -0.46895E-08    0.16850E-05   -0.46895E-08    0.30143E-11
   157    0.49799E+04   -0.48887E+02    0.16600E-05   -0.48887E+02    0.10965E+01   -0.46581E-08    0.16600E-05   -0.46581E-08    0.29586E-11
   158    0.50139E+04   -0.48727E+02    0.16355E-05   -0.48727E+02    0.10883E+01   -0.46279E-08    0.16355E-05   -0.46279E-08    0.29043E-11
   159    0.50477E+04   -0.48539E+02    0.16115E-05   -0.48539E+02    0.10795E+01   -0.45984E-08    0.16115E-05   -0.45984E-08    0.28512E-11
   160    0.50812E+04   -0.48322E+02    0.15879E-05   -0.48322E+02    0.10705E+01   -0.45695E-08    0.15879E-05   -0.45695E-08    0.27993E-11
   161    0.51144E+04   -0.48077E+02    0.15647E-05   -0.48077E+02    0.10611E+01   -0.45409E-08    0.15647E-05   -0.45409E-08    0.27487E-11
   162    0.51473E+04   -0.47804E+02    0.15419E-05   -0.47804E+02    0.10514E+01   -0.45122E-08    0.15419E-05   -0.45122E-08    0.26993E-11
