#    L    TT             EE             TE             PP             TP          
   186    0.55134E+04    0.67344E+00   -0.22020E+02    0.25225E+07    0.28404E+04
   187    0.55305E+04    0.66787E+00   -0.20837E+02    0.25075E+07    0.28183E+04
   188    0.55470E+04    0.66302E+00   -0.19629E+02    0.24926E+07    0.27963E+04
   189    0.55627E+04    0.65892E+00   -0.18395E+02    0.24778E+07    0.27746E+04
   190    0.55782E+04    0.65564E+00   -0.17136E+02    0.24631E+07    0.27531E+04
   191    0.55926E+04    0.65321E+00   -0.15851E+02    0.24486E+07    0.27318E+04
   192    0.56065E+04    0.65166E+00   -0.14542E+02    0.24342E+07    0.27107E+04
   193    0.56197E+04    0.65105E+00   -0.13210E+02    0.24199E+07    0.26898E+04
   194    0.56324E+04    0.65142E+00   -0.11853E+02    0.24058E+07    0.26690E+04
   195    0.56444E+04    0.65282E+00   -0.10475E+02    0.23917E+07    0.26485E+04
   196    0.56556E+04    0.65528E+00   -0.90730E+01    0.23778E+07    0.26281E+04
   197    0.56662E+04    0.65888E+00   -0.76504E+01    0.23641E+07    0.26078E+04
   198    0.56762E+04    0.66363E+00   -0.62061E+01    0.23504E+07    0.25878E+04
   199    0.56856E+04    0.66960E+00   -0.47412E+01    0.23369E+07    0.25679E+04
   200    0.56942E+04    0.67681E+00   -0.32566E+01    0.23235E+07    0.25482E+04
   201    0.57022E+04    0.68533E+00   -0.17516E+01    0.23102E+07    0.25286E+04
   202    0.57095E+04    0.69518E+00   -0.22804E+00    0.22970E+07    0.25092E+04
   203    0.57161E+04    0.70640E+00    0.13147E+01    0.22839E+07    0.24899E+04
   204    0.57219E+04    0.71902E+00    0.28735E+01    0.22709E+07    0.24708E+04
   205    0.57271E+04    0.73307E+00    0.44503E+01    0.22581E+07    0.24518E+04
   206    0.57314E+04    0.74859E+00    0.60438E+01    0.22453E+07    0.24330E+04
   207    0.57352E+04    0.76560E+00    0.76533E+01    0.22327E+07    0.24143E+04
   208    0.57380E+04    0.78414E+00    0.92780E+01    0.22202E+07    0.23958E+04
   209    0.57402E+04    0.80423E+00    0.10918E+02    0.22078E+07    0.23774E+04
   210    0.57417E+04    0.82593E+00    0.12571E+02    0.21955E+07    0.23591E+04
   211    0.57425E+04    0.84924E+00    0.14237E+02    0.21833E+07    0.23410E+04
   212    0.57424E+04    0.87421E+00    0.15916E+02    0.21712E+07    0.23230E+04
   213    0.57417E+04    0.90087E+00    0.17607E+02    0.21592E+07    0.23052E+04
   214    0.57403E+04    0.92922E+00    0.19309E+02    0.21473E+07    0.22874E+04
   215    0.57381E+04    0.95943E+00    0.21021E+02    0.21355E+07    0.22699E+04
   216    0.57352E+04    0.99131E+00    0.22742E+02    0.21238E+07    0.22524E+04
   217    0.57317E+04    0.10250E+01    0.24472E+02    0.21122E+07    0.22351E+04
   218    0.57275E+04    0.10606E+01    0.26210E+02    0.21007E+07    0.22179E+04
   219    0.57225E+04    0.10980E+01    0.27957E+02    0.20894E+07    0.22009E+04
   220    0.57169E+04    0.11373E+01    0.29708E+02    0.20781E+07    0.21840E+04
   221    0.57106E+04    0.11785E+01    0.31465E+02    0.20669E+07    0.21672E+04
   222    0.57037E+04    0.12218E+01    0.33226E+02    0.20558E+07    0.21505E+04
   223    0.56959E+04    0.12670E+01    0.34993E+02    0.20447E+07    0.21339E+04
   224    0.56877E+04    0.13142E+01    0.36761E+02    0.20338E+07    0.21175E+04
   225    0.56786E+04    0.13634E+01    0.38533E+02    0.20230E+07    0.21012E+04
   226    0.56690E+04    0.14148E+01    0.40305E+02    0.20123E+07    0.20850E+04
   227    0.56586E+04    0.14682E+01    0.42078E+02    0.20016E+07    0.20690E+04
   228    0.56476E+04    0.15237E+01    0.43851E+02    0.19911E+07    0.20530E+04
   229    0.56360E+04    0.15814E+01    0.45622E+02    0.19806E+07    0.20372E+04
   230    0.56237E+04    0.16412E+01    0.47392E+02    0.19702E+07    0.20215E+04
   231    0.56106E+04    0.17033E+01    0.49160E+02    0.19599E+07    0.20058E+04
   232    0.55970E+04    0.17674E+01    0.50923E+02    0.19497E+07    0.19904E+04
   233    0.55827E+04    0.18340E+01    0.52681E+02    0.19396E+07    0.19750E+04
   234    0.55677E+04    0.19027E+01    0.54434E+02    0.19295E+07    0.19597E+04
