#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   163    0.49631E+04   -0.41327E+02    0.12321E-05   -0.41327E+02    0.90897E+00   -0.36935E-08    0.12321E-05   -0.36935E-08    0.23597E-11
   164    0.49924E+04   -0.40816E+02    0.12145E-05   -0.40816E+02    0.89749E+00   -0.36526E-08    0.12145E-05   -0.36526E-08    0.23160E-11
   165    0.50214E+04   -0.40274E+02    0.11972E-05   -0.40274E+02    0.88585E+00   -0.36126E-08    0.11972E-05   -0.36126E-08    0.22733E-11
   166    0.50500E+04   -0.39702E+02    0.11801E-05   -0.39702E+02    0.87421E+00   -0.35733E-08    0.11801E-05   -0.35733E-08    0.22317E-11
   167    0.50782E+04   -0.39102E+02    0.11634E-05   -0.39102E+02    0.86236E+00   -0.35341E-08    0.11634E-05   -0.35341E-08    0.21911E-11
   168    0.51059E+04   -0.38470E+02    0.11470E-05   -0.38470E+02    0.85067E+00   -0.34947E-08    0.11470E-05   -0.34947E-08    0.21514E-11
   169    0.51331E+04   -0.37808E+02    0.11309E-05   -0.37808E+02    0.83885E+00   -0.34549E-08    0.11309E-05   -0.34549E-08    0.21126E-11
   170    0.51600E+04   -0.37117E+02    0.11151E-05   -0.37117E+02    0.82714E+00   -0.34143E-08    0.11151E-05   -0.34143E-08    0.20748E-11
   171    0.51862E+04   -0.36394E+02    0.10996E-05   -0.36394E+02    0.81555E+00   -0.33724E-08    0.10996E-05   -0.33724E-08    0.20378E-11
   172    0.52119E+04   -0.35641E+02    0.10843E-05   -0.35641E+02    0.80400E+00   -0.33290E-08    0.10843E-05   -0.33290E-08    0.20017E-11
   173    0.52371E+04   -0.34859E+02    0.10693E-05   -0.34859E+02    0.79251E+00   -0.32838E-08    0.10693E-05   -0.32838E-08    0.19664E-11
   174    0.52618E+04   -0.34046E+02    0.10546E-05   -0.34046E+02    0.78137E+00   -0.32363E-08    0.10546E-05   -0.32363E-08    0.19318E-11
   175    0.52860E+04   -0.33203E+02    0.10401E-05   -0.33203E+02    0.77031E+00   -0.31862E-08    0.10401E-05   -0.31862E-08    0.18980E-11
   176    0.53095E+04   -0.32330E+02    0.10259E-05   -0.32330E+02    0.75955E+00   -0.31332E-08    0.10259E-05   -0.31332E-08    0.18650E-11
   177    0.53326E+04   -0.31429E+02    0.10120E-05   -0.31429E+02    0.74903E+00   -0.30774E-08    0.10120E-05   -0.30774E-08    0.18326E-11
